modeID,inheritance_type,solving_time[s],nb_rounds,hyperperiod,nb_rounds_norm,hyperperiod_norm
1,1,6.6138,8,80000,8,80000
1,2,5.7856,8,80000,8,80000
1,3,2.7751,8,80000,8,80000
2,1,0.28083,4,20000,16,80000
2,2,0.092451,4,20000,16,80000
2,3,79.15,20,80000,20,80000
3,1,183.72,16,80000,16,80000
3,2,114.22,16,80000,16,80000
3,3,65.076,20,80000,20,80000
4,1,535.94,16,80000,16,80000
4,2,438.03,16,80000,16,80000
4,3,231.65,24,80000,24,80000
5,1,0.014825,2,20000,8,80000
5,2,0.0046892,2,20000,8,80000
5,3,577.66,26,80000,26,80000
